Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.000199683039820826,0.005145144147916,0.012410896975763,0,0,0,0.0380299146996912,6.59286998207165E-06,-1.5207196189166E-07,-6.1163552263237E-11,7.36864724408771E-06,1.45081779342908E-07,1.12027270721149E-05,0,0,0,0,0,0,package://gg/meshes/base_link.STL,0.741176470588235,0.901960784313726,0.956862745098039,1,0,0,0,0,0,0,package://gg/meshes/base_link.STL,,ddd.stp-1/11.stp-1/yuntai_5p_asm_lwt.stp_12.stp-1/DUOJI.stp_5.stp-1;ddd.stp-1/11.stp-1/yuntai_5p_asm_lwt.stp_12.stp-1/20170709_DUOJIZHIJIA.stp_5.stp-1,坐标系1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_1,0.0304931121507161,4.94829871522384E-16,0.0525,0,0,0,0.0182961255655795,7.56857037469896E-06,-1.41852472239301E-19,-7.39088633164791E-21,1.62397575138123E-05,4.76456032830354E-22,1.05132687532747E-05,0,0,0,0,0,0,package://gg/meshes/link_1.STL,0.741176470588235,0.901960784313726,0.956862745098039,1,0,0,0,0,0,0,package://gg/meshes/link_1.STL,,ddd.stp-1/21.stp-1/yuntai_5p_asm_lwt.stp_4.stp-1/DUOPAN.stp_2.stp-1;ddd.stp-1/21.stp-1/yuntai_5p_asm_lwt.stp_4.stp-1/UZHIJIA.stp_2.stp-2;ddd.stp-1/21.stp-1/yuntai_5p_asm_lwt.stp_4.stp-1/UZHIJIA.stp_2.stp-1;ddd.stp-1/21.stp-1/yuntai_5p_asm_lwt.stp_4.stp-1/DUOJIZU_ASM.stp_2.stp-1/DUOPAN.stp_2.stp-1,坐标系2,基准轴1,joint_1,revolute,0.01,-0.020402,0.0135,0.065396,0,1.5708,base_link,1,0,0,100,3,-3,3,,,,,,,,
link_2,0.0257576432953458,0.00137715430708122,0.0206842707646627,0,0,0,0.0488195362560629,1.15881140577187E-05,-1.43514518682294E-07,1.53551903987917E-07,1.97481412401206E-05,5.13246778264873E-08,1.2125688470375E-05,0,0,0,0,0,0,package://gg/meshes/link_2.STL,0.741176470588235,0.901960784313726,0.956862745098039,1,0,0,0,0,0,0,package://gg/meshes/link_2.STL,,ddd.stp-1/3.stp-1/yuntai_5p_asm_lwt.stp_5.stp-1/DUOJIZU_ASM.stp_3.stp-1/20170709_DUOJIZHIJIA.stp_2.stp-1;ddd.stp-1/3.stp-1/yuntai_5p_asm_lwt.stp_5.stp-1/LLIANJIE.stp_1.stp-1;ddd.stp-1/3.stp-1/yuntai_5p_asm_lwt.stp_5.stp-1/UZHIJIA.stp_3.stp-1;ddd.stp-1/3.stp-1/yuntai_5p_asm_lwt.stp_5.stp-1/DUOJIZU_ASM.stp_3.stp-1/DUOJI.stp_2.stp-1,坐标系3,基准轴2,joint_2,revolute,0,0,0.105,0,0,0,link_1,1,0,0,100,3,-3,3,,,,,,,,
link_3,0.022461275278841,-0.00485434547928628,0.0330325603677447,0,0,0,0.0777215526484572,1.297581319738E-05,-1.22287232933419E-07,1.60399323784462E-07,1.8770071220371E-05,-2.61891299098186E-07,1.69444016979507E-05,0,0,0,0,0,0,package://gg/meshes/link_3.STL,0.741176470588235,0.901960784313726,0.956862745098039,1,0,0,0,0,0,0,package://gg/meshes/link_3.STL,,ddd.stp-1/4-11.stp-1/yuntai_5p_asm_lwt.stp_8.stp-1/DUOJIZU_ASM.stp_5.stp-1/20170709_DUOJIZHIJIA.stp_4.stp-1;ddd.stp-1/4-11.stp-1/yuntai_5p_asm_lwt.stp_8.stp-1/DUOJIZU_ASM.stp_5.stp-1/DUOJI.stp_4.stp-1;ddd.stp-1/44.stp-1/____-______-___6.stp-1/_________5.stp-1;ddd.stp-1/44.stp-1/____-______-___6.stp-1/____-______-__.STEP_6.stp-1/____996.STEP_5.stp-1;ddd.stp-1/44.stp-1/____-______-___6.stp-1/____-______-__.STEP_6.stp-1/__________.STEP_5.stp-1;ddd.stp-1/44.stp-1/____-______-___6.stp-1/____-______-__.STEP_6.stp-1/__________.STEP_5.stp-4;ddd.stp-1/44.stp-1/____-______-___6.stp-1/____-______-__.STEP_6.stp-1/____-M3-6.STEP_6.stp-4;ddd.stp-1/44.stp-1/____-______-___6.stp-1/____-______-__.STEP_6.stp-1/____-M3-6.STEP_6.stp-3;ddd.stp-1/44.stp-1/____-______-___6.stp-1/____-______-__.STEP_6.stp-1/____-________M3.STEP_6.stp-1;ddd.stp-1/44.stp-1/____-______-___6.stp-1/____-______-__.STEP_6.stp-1/3-7-3____.STEP_6.stp-3;ddd.stp-1/44.stp-1/____-______-___6.stp-1/____-______-__.STEP_6.stp-1/____-____3-12-3.STEP_5.stp-3;ddd.stp-1/44.stp-1/____-______-___6.stp-1/____-______-__.STEP_6.stp-1/____-M3-18.STEP_5.stp-2;ddd.stp-1/44.stp-1/____-______-___6.stp-1/____-______-__.STEP_6.stp-1/________-M3-6.STEP_5.stp-2;ddd.stp-1/44.stp-1/____-______-___6.stp-1/____-______-__.STEP_6.stp-1/________-M3-6.STEP_5.stp-3;ddd.stp-1/44.stp-1/____-______-___6.stp-1/____-______-__.STEP_6.stp-1/____-____3-12-3.STEP_5.stp-2;ddd.stp-1/44.stp-1/____-______-___6.stp-1/____-______-__.STEP_6.stp-1/____-M3-18.STEP_5.stp-1;ddd.stp-1/44.stp-1/____-______-___6.stp-1/____-______-__.STEP_6.stp-1/3-7-3____.STEP_6.stp-2;ddd.stp-1/44.stp-1/____-______-___6.stp-1/____-______-__.STEP_6.stp-1/____-________M3.STEP_6.stp-3;ddd.stp-1/44.stp-1/____-______-___6.stp-1/____-______-__.STEP_6.stp-1/__________.STEP_5.stp-2;ddd.stp-1/44.stp-1/____-______-___6.stp-1/____-______-__.STEP_6.stp-1/________-M3-6.STEP_5.stp-1;ddd.stp-1/44.stp-1/____-______-___6.stp-1/____-______-__.STEP_6.stp-1/____-M3-6.STEP_6.stp-1;ddd.stp-1/44.stp-1/____-______-___6.stp-1/____-______-__.STEP_6.stp-1/____-M3-6.STEP_6.stp-5;ddd.stp-1/44.stp-1/____-______-___6.stp-1/____-______-__.STEP_6.stp-1/__________.STEP_5.stp-3;ddd.stp-1/44.stp-1/____-______-___6.stp-1/____-______-__.STEP_6.stp-1/____-____3-12-3.STEP_5.stp-1;ddd.stp-1/44.stp-1/____-______-___6.stp-1/____-______-__.STEP_6.stp-1/____-________M3.STEP_6.stp-2;ddd.stp-1/44.stp-1/____-______-___6.stp-1/____-______-__.STEP_6.stp-1/3-7-3____.STEP_6.stp-1;ddd.stp-1/44.stp-1/____-______-___6.stp-1/____-______-__.STEP_6.stp-1/________-M3-15.STEP_5.stp-1;ddd.stp-1/4-11.stp-1/M3-40 _________2.stp-1;ddd.stp-1/4-11.stp-1/M3-40 _________2.stp-2;ddd.stp-1/44.stp-1/____-______-___6.stp-1/____-______-__.STEP_6.stp-1/____-M3-6.STEP_6.stp-2,坐标系4,基准轴3,joint_3,revolute,-0.0015,0,0.097505,-0.010256,0,0,link_2,1,0,0,100,3,-3,3,,,,,,,,
link_4,-0.00564731558518881,0.00150000000000139,0.00640801185701134,0,0,0,0.00197604548440536,1.95368168459778E-07,1.38081190332098E-22,1.51745831304819E-07,3.99845023290352E-07,-6.93648647047897E-21,2.07440923057183E-07,0,0,0,0,0,0,package://gg/meshes/link_4.STL,0.741176470588235,0.901960784313726,0.956862745098039,1,0,0,0,0,0,0,package://gg/meshes/link_4.STL,,ddd.stp-1/6-12.stp-1/____-______-___15.stp-1/____-______-__.STEP_15.stp-1/____-________.STEP_3.stp-1,坐标系5,基准轴4,joint_4,revolute,0.034,0.013958,0.052568,0.13973,0,-3.1416,link_3,0,-1,0,100,3,-3,3,,,,,,,,
link_8,-0.00614995179393875,0.0103163534952073,0.0192779652005062,0,0,0,0.0110869952460788,2.26639796636765E-06,2.86299548209749E-14,-3.12170251804134E-07,2.52356232166153E-06,2.26204071684424E-13,7.09382869443721E-07,0,0,0,0,0,0,package://gg/meshes/link_8.STL,0.741176470588235,0.901960784313726,0.956862745098039,1,0,0,0,0,0,0,package://gg/meshes/link_8.STL,,ddd.stp-1/61.stp-1/____-______-___14.stp-1/____-______-__.STEP_14.stp-1/____-____-____.STEP_3.stp-1/____-____.STEP_3.stp-1;ddd.stp-1/61.stp-1/____-______-___14.stp-1/____-______-__.STEP_14.stp-1/FAFR____________.STEP_4.stp-1;ddd.stp-1/61.stp-1/____-______-___14.stp-1/____-______-__.STEP_14.stp-1/____-M3-28.STEP_9.stp-2;ddd.stp-1/61.stp-1/____-______-___14.stp-1/____-______-__.STEP_14.stp-1/____-M3-28.STEP_9.stp-1;ddd.stp-1/6-12.stp-1/____-______-___15.stp-1/____-______-__.STEP_15.stp-1/____-M3-28.STEP_10.stp-1;ddd.stp-1/6-12.stp-1/____-______-___15.stp-1/____-______-__.STEP_15.stp-1/____-8mm.STEP_6.stp-1;ddd.stp-1/6-12.stp-1/____-______-___15.stp-1/____-______-__.STEP_15.stp-1/3-7-3____.STEP_11.stp-1;ddd.stp-1/61.stp-1/____-______-___14.stp-1/____-______-__.STEP_14.stp-1/3-7-1____.STEP_7.stp-1;ddd.stp-1/6-12.stp-1/____-______-___15.stp-1/____-______-__.STEP_15.stp-1/____-________M3.STEP_15.stp-1;ddd.stp-1/61.stp-1/____-______-___14.stp-1/____-______-__.STEP_14.stp-1/____-________M3.STEP_14.stp-1;ddd.stp-1/61.stp-1/____-______-___14.stp-1/____-______-__.STEP_14.stp-1/FAFR____________.STEP_4.stp-2;ddd.stp-1/61.stp-1/____-______-___14.stp-1/____-______-__.STEP_14.stp-1/____-________M3.STEP_14.stp-2;ddd.stp-1/61.stp-1/____-______-___14.stp-1/____-______-__.STEP_14.stp-1/____-____-____.STEP_3.stp-1/FA2066____.STEP_3.stp-1;ddd.stp-1/6-12.stp-1/____-______-___15.stp-1/____-______-__.STEP_15.stp-1/____-M3-12.STEP_6.stp-1;ddd.stp-1/6-12.stp-1/____-______-___15.stp-1/____-______-__.STEP_15.stp-1/3-7-3____.STEP_11.stp-2;ddd.stp-1/6-12.stp-1/____-______-___15.stp-1/____-______-__.STEP_15.stp-1/3-7-3____.STEP_11.stp-3;ddd.stp-1/6-12.stp-1/____-______-___15.stp-1/____-______-__.STEP_15.stp-1/____-________M3.STEP_15.stp-2,坐标系9,基准轴8,joint_8,revolute,-0.024471,-0.004,0.025023,0,0,0,link_4,0,-1,0,100,3,-3,3,,,,,,,,
link_5,0.00369362330435792,0.00223507058766409,0.0043613275739503,0,0,0,0.0029710856680058,2.05767246894327E-07,-1.73944789062283E-21,-1.40876829989061E-07,4.07485385419228E-07,-1.58138773852585E-21,2.13065038138551E-07,0,0,0,0,0,0,package://gg/meshes/link_5.STL,0.741176470588235,0.901960784313726,0.956862745098039,1,0,0,0,0,0,0,package://gg/meshes/link_5.STL,,ddd.stp-1/5-12.stp-1/____-______-___12.stp-1/____-______-__.STEP_12.stp-1/____-________-1.STEP_3.stp-1;ddd.stp-1/5-12.stp-1/____-______-___12.stp-1/____-______-__.STEP_12.stp-1/____-M3-6.STEP_8.stp-1;ddd.stp-1/5-12.stp-1/____-______-___12.stp-1/____-______-__.STEP_12.stp-1/____-M3-6.STEP_8.stp-4;ddd.stp-1/5-12.stp-1/____-______-___12.stp-1/____-______-__.STEP_12.stp-1/____-M3-6.STEP_8.stp-3;ddd.stp-1/5-12.stp-1/____-______-___12.stp-1/____-______-__.STEP_12.stp-1/____-M3-6.STEP_8.stp-2;ddd.stp-1/5-12.stp-1/____-______-___12.stp-1/____-______-__.STEP_12.stp-1/________.STEP_3.stp-1,坐标系6,基准轴5,joint_5,revolute,0.009,0.013958,0.052568,0.13973,0,-3.1416,link_3,0,1,0,100,3,-3,3,,,,,,,,
link_9,0.00634496611832598,0.0110972731697096,0.020560294407977,0,0,0,0.0102295319024209,2.2117714850267E-06,-1.90044159812695E-15,2.98211660889234E-07,2.41260879364446E-06,2.25907313831134E-13,6.52484215993186E-07,0,0,0,0,0,0,package://gg/meshes/link_9.STL,0.741176470588235,0.901960784313726,0.956862745098039,1,0,0,0,0,0,0,package://gg/meshes/link_9.STL,,ddd.stp-1/5-21.stp-1/____-______-___13.stp-1/____-______-__.STEP_13.stp-1/____-____-____.STEP_1.stp-1/____-____.STEP_1.stp-1;ddd.stp-1/5-21.stp-1/____-______-___13.stp-1/____-______-__.STEP_13.stp-1/____-M3-28.STEP_8.stp-2;ddd.stp-1/5-12.stp-1/____-______-___12.stp-1/____-______-__.STEP_12.stp-1/____-8mm.STEP_5.stp-1;ddd.stp-1/5-12.stp-1/____-______-___12.stp-1/____-______-__.STEP_12.stp-1/____-M3-28.STEP_7.stp-1;ddd.stp-1/5-12.stp-1/____-______-___12.stp-1/____-______-__.STEP_12.stp-1/3-7-1____.STEP_6.stp-1;ddd.stp-1/5-12.stp-1/____-______-___12.stp-1/____-______-__.STEP_12.stp-1/3-7-3____.STEP_10.stp-2;ddd.stp-1/5-12.stp-1/____-______-___12.stp-1/____-______-__.STEP_12.stp-1/____-________M3.STEP_12.stp-2;ddd.stp-1/5-21.stp-1/____-______-___13.stp-1/____-______-__.STEP_13.stp-1/FAFR____________.STEP_3.stp-1;ddd.stp-1/5-21.stp-1/____-______-___13.stp-1/____-______-__.STEP_13.stp-1/____-________M3.STEP_13.stp-1;ddd.stp-1/5-21.stp-1/____-______-___13.stp-1/____-______-__.STEP_13.stp-1/____-________M3.STEP_13.stp-2;ddd.stp-1/5-21.stp-1/____-______-___13.stp-1/____-______-__.STEP_13.stp-1/____-____-____.STEP_1.stp-1/FA2066____.STEP_1.stp-1;ddd.stp-1/5-21.stp-1/____-______-___13.stp-1/____-______-__.STEP_13.stp-1/____-M3-28.STEP_8.stp-1;ddd.stp-1/5-12.stp-1/____-______-___12.stp-1/____-______-__.STEP_12.stp-1/____-M3-12.STEP_5.stp-1;ddd.stp-1/5-12.stp-1/____-______-___12.stp-1/____-______-__.STEP_12.stp-1/3-7-3____.STEP_10.stp-1;ddd.stp-1/5-12.stp-1/____-______-___12.stp-1/____-______-__.STEP_12.stp-1/____-________M3.STEP_12.stp-1;ddd.stp-1/5-12.stp-1/____-______-___12.stp-1/____-______-__.STEP_12.stp-1/3-7-3____.STEP_10.stp-3,坐标系10,基准轴9,joint_9,revolute,0.024099,-0.004,0.025382,0,0,0,link_5,0,-1,0,100,3,-3,3,,,,,,,,
link_6,-0.0129506495019555,0.00700000000000344,0.011812320726033,0,0,0,0.00108778506953505,8.86285716063773E-08,1.85493072054669E-21,8.30022521497664E-08,1.71922619588063E-07,-1.87701277774844E-21,8.49257255859881E-08,0,0,0,0,0,0,package://gg/meshes/link_6.STL,0.741176470588235,0.901960784313726,0.956862745098039,1,0,0,0,0,0,0,package://gg/meshes/link_6.STL,,ddd.stp-1/6-12.stp-1/____-______-___15.stp-1/____-______-__.STEP_15.stp-1/____-____-2.STEP_6.stp-2;ddd.stp-1/6-12.stp-1/____-______-___15.stp-1/____-______-__.STEP_15.stp-1/____-____-2.STEP_6.stp-1,坐标系11,基准轴6,joint_6,revolute,0.054203,0.012934,0.045287,0.13973,0,-3.1416,link_3,0,-1,0,100,3,-3,3,,,,,,,,
link_7,0.0127747670306929,0.00699999999999876,0.0120023151330441,0,0,0,0.00108778506953505,9.10794072428584E-08,-3.95365195528865E-22,-8.29113514522176E-08,1.71922619588062E-07,-4.47487143181348E-22,8.24748899495065E-08,0,0,0,0,0,0,package://gg/meshes/link_7.STL,0.741176470588235,0.901960784313726,0.956862745098039,1,0,0,0,0,0,0,package://gg/meshes/link_7.STL,,ddd.stp-1/5-12.stp-1/____-______-___12.stp-1/____-______-__.STEP_12.stp-1/____-____-2.STEP_5.stp-2;ddd.stp-1/5-12.stp-1/____-______-___12.stp-1/____-______-__.STEP_12.stp-1/____-____-2.STEP_5.stp-1,坐标系12,基准轴7,joint_7,revolute,-0.011203,0.012934,0.045287,0.13973,0,-3.1416,link_3,0,-1,0,100,3,-3,3,,,,,,,,
